600490,鹏欣资源
600965,福成股份
600577,精达股份
600882,妙可蓝多
600094,大名城
605277,新亚电子
601519,大智慧
600156,华升股份
605555,德昌股份
600986,浙文互联
600864,哈投股份
600716,凤凰股份
605088,冠盛股份
605488,福莱新材
600080,金花股份
605158,华达新材
600189,泉阳泉
600419,天润乳业
605567,春雪食品
600249,两面针
600600,青岛啤酒
605089,味知香
601002,晋亿实业
601000,唐山港
600609,金杯汽车
605055,迎丰股份
600774,汉商集团
600408,安泰集团
600257,大湖股份
600265,景谷林业
600119,长江投资
600825,新华传媒
605006,山东玻纤
600488,津药药业
605499,东鹏饮料
601011,宝泰隆
600012,皖通高速
600099,林海股份
601020,华钰矿业
601118,海南橡胶
605166,聚合顺
600255,鑫科材料
600066,宇通客车
600919,江苏银行
600480,凌云股份
600177,雅戈尔
600185,格力地产
600618,氯碱化工
601988,中国银行
600794,保税科技
600172,黄河旋风
601811,新华文轩
600841,动力新科
600666,奥瑞德
600576,祥源文旅
601116,三江购物
605128,上海沿浦
600251,冠农股份
601177,杭齿前进
605050,福然德
600202,哈空调
600796,钱江生化
600215,派斯林
605188,国光连锁
600967,内蒙一机
601288,农业银行
600807,济高发展
600791,京能置业
600751,海航科技
600624,复旦复华
600540,新赛股份
600527,江南高纤
600512,腾达建设
600469,风神股份
600467,好当家
600221,海航控股
600186,莲花控股
600076,康欣新材
601007,金陵饭店
600051,宁波联合
601579,会稽山
600658,电子城
600118,中国卫星
600900,长江电力
601279,英利汽车
601890,亚星锚链
600648,外高桥
600787,中储股份
600548,深高速
600208,衢州发展
600675,中华企业
601528,瑞丰银行
601996,丰林集团
600455,博通股份
605098,行动教育
600010,包钢股份
600865,百大集团
600642,申能股份
605108,同庆楼
601728,中国电信
601702,华峰铝业
600229,城市传媒
601908,京运通
600057,厦门象屿
601718,际华集团
600785,新华百货
600007,中国国贸
600628,新世界
601599,浙文影业
601928,凤凰传媒
600820,隧道股份
601998,中信银行
600790,轻纺城
600252,中恒集团
601018,宁波港
605020,永和股份
601098,中南传媒
600128,苏豪弘业
600567,山鹰国际
600017,日照港
600054,黄山旅游
600871,石化油服
600802,福建水泥
600784,鲁银投资
600892,大晟文化
600496,精工钢构
600620,天宸股份
601086,国芳集团
601969,海南矿业
601992,金隅集团
600805,悦达投资
600758,XD辽宁能
600166,福田汽车
601608,中信重工
601866,中远海发
601229,上海银行
601615,明阳智能
600052,东望时代
601619,嘉泽新能
600828,茂业商业
600115,中国东航
600691,阳煤化工
600798,宁波海运
601005,重庆钢铁
600022,山东钢铁
601921,浙版传媒
600981,汇鸿集团
600159,大龙地产
601886,江河集团
600284,浦东建设
601588,北辰实业
605198,安德利
600158,中体产业
600808,马钢股份
600886,国投电力
600571,信雅达
600582,天地科技
600819,耀皮玻璃
605228,神通科技
601111,中国国航
601188,龙江交通
600810,神马股份
600280,中央商场
600029,南方航空
600726,华电能源
600617,国新能源
600979,广安爱众
600858,银座股份
600157,永泰能源
600959,江苏有线
600941,中国移动
600410,华胜天成
601929,吉视传媒
605180,华生科技
600082,海泰发展
600088,中视传媒
600282,南钢股份
601088,中国神华
600661,昂立教育
601225,陕西煤业
600126,杭钢股份
600626,申达股份
600857,宁波中百
601999,出版传媒
600569,安阳钢铁
600665,天地源
600506,统一股份
605199,葫芦娃
600724,宁波富达
600778,友好集团
600982,宁波能源
600824,益民集团
600880,博瑞传播
002717,岭南股份
002494,华斯股份
002047,宝鹰股份
002878,元隆雅图
002587,奥拓电子
002949,华阳国际
002009,天奇股份
002122,汇洲智能
002640,跨境通
002449,国星光电
002154,报 喜 鸟
000950,重药控股
002188,中天服务
002264,新 华 都
002127,南极电商
002946,新乳业
002279,久其软件
002769,普路通
002991,甘源食品
002276,万马股份
002171,楚江新材
002892,科力尔
002622,皓宸医疗
001211,双枪科技
002629,仁智股份
000925,众合科技
002795,永和智控
002006,精工科技
001206,依依股份
002724,海洋王
002848,高斯贝尔
002225,濮耐股份
002956,西麦食品
002708,光洋股份
002241,歌尔股份
002796,世嘉科技
002575,群兴玩具
000600,建投能源
002527,新时达
002570,贝因美
002867,周大生
000980,众泰汽车
002177,御银股份
002278,神开股份
002461,珠江啤酒
002772,众兴菌业
000729,燕京啤酒
000856,冀东装备
000042,中洲控股
002820,桂发祥
002719,麦趣尔
002695,煌上煌
000955,欣龙控股
002896,中大力德
002915,中欣氟材
001260,坤泰股份
002029,七 匹 狼
000055,方大集团
002497,雅化集团
002186,全 聚 德
002829,星网宇达
002598,山东章鼓
002818,富森美
002852,道道全
002164,宁波东力
002840,华统股份
002919,名臣健康
001219,青岛食品
002082,万邦德
002296,辉煌科技
002069,獐子岛
002767,先锋电子
002195,岩山科技
002017,东信和平
002042,华孚时尚
002196,方正电机
002696,百洋股份
002265,建设工业
002666,德联集团
000509,华塑控股
000890,法尔胜
000409,云鼎科技
000798,中水渔业
002790,瑞尔特
002522,浙江众成
002599,盛通股份
002652,扬子新材
002886,沃特股份
000429,粤高速Ａ
000926,福星股份
002404,嘉欣丝绸
002282,博深股份
000790,华神科技
000008,神州高铁
002641,公元股份
000411,英特集团
002479,富春环保
002144,宏达高科
002496,辉丰股份
000981,山子高科
002097,山河智能
002677,浙江美大
000972,中基健康
002292,奥飞娱乐
002969,嘉美包装
002114,罗平锌电
002649,博彦科技
002046,国机精工
002596,海南瑞泽
002716,湖南白银
002108,沧州明珠
002076,星光股份
000510,新金路
002224,三 力 士
002746,仙坛股份
002170,芭田股份
000045,深纺织Ａ
002627,三峡旅游
002614,奥佳华
002547,春兴精工
002540,亚太科技
002524,光正眼科
002211,宏达新材
001287,中电港
000850,华茂股份
000727,冠捷科技
000726,鲁  泰Ａ
000529,广弘控股
000420,吉林化纤
000407,胜利股份
000061,农 产 品
000712,锦龙股份
002299,圣农发展
000716,黑芝麻
000417,合百集团
000597,东北制药
000785,居然智家
000820,神雾节能
002104,恒宝股份
002086,东方海洋
000505,京粮控股
002679,福建金森
000797,中国武夷
000069,华侨城Ａ
002492,恒基达鑫
002062,宏润建设
000601,韶能股份
000554,泰山石油
002160,常铝股份
002819,东方中科
002105,信隆健康
002055,得润电子
002578,闽发铝业
002966,苏州银行
002887,绿茵生态
000852,石化机械
000912,泸天化
002206,海 利 得
001965,招商公路
000014,沙河股份
000019,深粮控股
002758,浙农股份
002986,宇新股份
000895,双汇发展
000897,津滨发展
002204,大连重工
002762,金发拉比
000779,甘咨询
002010,传化智联
000715,中兴商业
002088,鲁阳节能
002526,山东矿机
000751,锌业股份
000978,桂林旅游
000552,甘肃能化
002191,劲嘉股份
002659,凯文教育
000517,荣安地产
002702,海欣食品
000620,新华联
000892,欢瑞世纪
002451,摩恩电气
002881,美格智能
000010,美丽生态
002697,红旗连锁
002515,金字火腿
000967,盈峰环境
000927,中国铁物
002671,龙泉股份
000816,智慧农业
000802,北京文化
002148,北纬科技
000825,太钢不锈
000428,华天酒店
002551,尚荣医疗
002945,华林证券
000959,首钢股份
002121,科陆电子
002925,盈趣科技
000709,河钢股份
002752,昇兴股份
000507,珠海港
002418,康盛股份
002997,瑞鹄模具
002215,诺 普 信
000788,北大医药
002501,利源股份
000619,海螺新材
002400,省广集团
002187,广百股份
001896,豫能控股
000898,鞍钢股份
001267,汇绿生态
000659,珠海中富
002607,中公教育
002576,通达动力
000665,湖北广电
002512,达华智能
000586,汇源通信
000558,莱茵体育
002918,蒙娜丽莎
002115,三维通信
002175,东方智造
002205,国统股份
002181,粤 传 媒
002789,建艺集团
002291,遥望科技
000759,中百集团
